id,nombre,slug,categoria_id,categoria,precio_total,precio_por_unidad,unidad_medida,iva,empaque,disponible,url
33190,Alcaparras Hacendado,alcaparras-hacendado-vinagre-tarro,15,Aperitivos,10.0,1.35,kg,10.000,Tarro,True,https://tienda.mercadona.es/product/33190/alcaparras-hacendado-vinagre-tarro
4868,Picadillo de variantes Hacendado,picadillo-variantes-hacendado-tarro,15,Aperitivos,5.0,2.1,kg,10.000,Tarro,True,https://tienda.mercadona.es/product/4868/picadillo-variantes-hacendado-tarro
11946,Aceitunas verdes rellenas de pepinillo Hacendado,aceitunas-verdes-rellenas-pepinillo-hacendado-tarro,15,Aperitivos,9.05,2.85,kg,10.000,Tarro,True,https://tienda.mercadona.es/product/11946/aceitunas-verdes-rellenas-pepinillo-hacendado-tarro
33141,Cebollitas Hacendado,cebollitas-hacendado-tarro,15,Aperitivos,4.71,1.65,kg,10.000,Tarro,True,https://tienda.mercadona.es/product/33141/cebollitas-hacendado-tarro
15966,Guindillas picantes Hacendado,guindillas-picantes-hacendado-tarro,15,Aperitivos,5.34,1.55,kg,10.000,Tarro,True,https://tienda.mercadona.es/product/15966/guindillas-picantes-hacendado-tarro
52733,Aceitunas negras sin hueso Hacendado,aceitunas-negras-hacendado-sin-hueso-pack-3,15,Aperitivos,2.86,3.0,kg,10.000,,True,https://tienda.mercadona.es/product/52733/aceitunas-negras-hacendado-sin-hueso-pack-3
8309,Aceitunas negras en rodajas Hacendado,aceitunas-negras-hacendado-rodajas,15,Aperitivos,13.51,2.0,kg,10.000,,True,https://tienda.mercadona.es/product/8309/aceitunas-negras-hacendado-rodajas
33022,Ajos aliñados Hacendado,ajos-alinados-hacendado-tarro,15,Aperitivos,7.54,2.6,kg,10.000,Tarro,True,https://tienda.mercadona.es/product/33022/ajos-alinados-hacendado-tarro
33189,Jalapeños picantes en vinagre Hacendado,jalapenos-picantes-hacendado-vinagre-tarro,15,Aperitivos,12.22,1.65,kg,10.000,Tarro,True,https://tienda.mercadona.es/product/33189/jalapenos-picantes-hacendado-vinagre-tarro
33026,Mix de pepinillos y cebollitas Hacendado,mix-pepinillos-cebollitas-hacendado-tarro,15,Aperitivos,2.91,1.95,kg,10.000,Tarro,True,https://tienda.mercadona.es/product/33026/mix-pepinillos-cebollitas-hacendado-tarro
5480,Pepinillos agridulces Hacendado,pepinillos-agridulces-hacendado-calibre-grande-tarro,15,Aperitivos,2.39,1.6,kg,10.000,Tarro,True,https://tienda.mercadona.es/product/5480/pepinillos-agridulces-hacendado-calibre-grande-tarro
21756,Aceitunas negras de Aragón Campo Nature,aceitunas-negras-naturales-aragon-campo-nature-tarro,15,Aperitivos,12.5,2.5,kg,10.000,Tarro,True,https://tienda.mercadona.es/product/21756/aceitunas-negras-naturales-aragon-campo-nature-tarro
11565,Pepinillos en vinagre Hacendado,pepinillos-vinagre-hacendado-tarro,15,Aperitivos,3.45,1.45,kg,10.000,Tarro,True,https://tienda.mercadona.es/product/11565/pepinillos-vinagre-hacendado-tarro
15967,Piparra Hacendado,piparra-hacendado-tarro,15,Aperitivos,9.66,2.8,kg,10.000,Tarro,True,https://tienda.mercadona.es/product/15967/piparra-hacendado-tarro
14474,Pepinillos agridulces Hacendado,pepinillos-agridulces-hacendado-calibre-pequeno-tarro,15,Aperitivos,4.38,1.75,kg,10.000,Tarro,True,https://tienda.mercadona.es/product/14474/pepinillos-agridulces-hacendado-calibre-pequeno-tarro
